Iteration	Posterior	Likelihood	Prior	alpha_data_bin	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	rates_data_bin[1]	rates_data_bin[2]	rates_data_bin[3]	rates_data_bin[4]	tree_length
310	-793.156	-814.488	21.3325	2.672993	20.88341	0.0273221	0.0378934	0.0629282	0.0136077	0.10617	0.00987768	0.074344	0.019644	0.038112	0.0275875	0.0346931	0.0149023	0.0257546	0.00587388	0.00821512	0.0292817	0.0558263	0.0820095	0.0339452	0.0980208	0.0896077	0.00385393	0.0908781	0.0103448	0.0552841	0.0413068	0.0152521	0.0797461	0.117067	0.122757	0.0209272	0.0144925	0.0541628	0.0673135	0.104034	0.117542	0.0740501	0.362268	0.711648	1.08034	1.84574	1.884629
320	-795.945	-820.222	24.2773	1.072238	17.5148	0.0545626	0.0390943	0.0493606	0.0124641	0.0342625	0.0195189	0.0300505	0.0195945	0.0203075	0.0193519	0.030686	0.0125835	0.0626443	0.00362972	0.0238894	0.0272735	0.0720215	0.0596105	0.0445091	0.0725461	0.131563	0.00114038	0.0793614	0.00385265	0.0634007	0.045904	0.016824	0.103263	0.0978724	0.13895	0.0188955	0.0112393	0.0322055	0.121557	0.0816831	0.105133	0.0764128	0.151138	0.497437	1.01101	2.34042	1.837219
330	-798.078	-819.305	21.2273	1.962401	14.29187	0.0290874	0.0297183	0.0360697	0.0387421	0.0325989	0.0191081	0.0540865	0.0245669	0.0249056	0.0429747	0.0683104	0.00800214	0.0656498	0.00740217	0.0287412	0.0241568	0.077244	0.171032	0.0555617	0.083559	0.0744014	0.000533177	0.0503873	0.00254537	0.0916757	0.031061	0.0272667	0.05738	0.0378908	0.124517	0.0290588	0.048844	0.0326207	0.0462114	0.0527877	0.176104	0.116487	0.288745	0.650955	1.06902	1.99128	1.92129
340	-799.755	-820.479	20.7235	1.267651	17.74054	0.0137311	0.0427937	0.0225545	0.0387214	0.0711475	0.00932525	0.145175	0.011522	0.0143974	0.0191287	0.0564684	0.0196362	0.0484749	0.00325045	0.0323183	0.0213415	0.0753592	0.13279	0.0436301	0.121466	0.0870521	0.000971295	0.0678445	0.00102164	0.059175	0.0498919	0.0243445	0.0512031	0.0483708	0.169261	0.0451629	0.0909326	0.134414	0.0269277	0.0244157	0.152998	0.0500928	0.187099	0.544683	1.03327	2.23495	2.027312
350	-801.34	-820.698	19.3574	2.073903	21.8638	0.023607	0.0706192	0.0347278	0.0125596	0.0968167	0.00684848	0.0456345	0.0447512	0.0323414	0.0211908	0.0224892	0.01915	0.0249353	0.00170784	0.091278	0.109373	0.033976	0.132623	0.0713597	0.0906068	0.0784717	0.00260359	0.0635822	0.000470326	0.0482906	0.0695089	0.0368671	0.0684486	0.055023	0.0959538	0.0559385	0.0653199	0.0747819	0.0296433	0.0577161	0.165889	0.0314234	0.30194	0.662649	1.07173	1.96368	1.986528
360	-801.295	-822.817	21.5226	1.201277	19.58166	0.0141521	0.0642939	0.0314626	0.0132902	0.147898	0.0157043	0.0391756	0.0226559	0.0636378	0.0216541	0.0172264	0.0162119	0.0149961	0.0015946	0.123166	0.0895922	0.0482163	0.104777	0.0270524	0.126415	0.0684648	0.00172687	0.0904448	0.00066023	0.0588308	0.0434046	0.0216773	0.0409164	0.0694708	0.078929	0.0621293	0.037247	0.0600816	0.114358	0.050057	0.148012	0.0174619	0.175284	0.529889	1.02672	2.2681	1.967046
370	-813.427	-833.706	20.2791	1.220513	18.13644	0.0136656	0.0636469	0.0383293	0.00205823	0.147346	0.0103943	0.0665873	0.0775886	0.0868708	0.0410789	0.00830014	0.0118345	0.016153	0.00231604	0.106633	0.0997009	0.0635149	0.0466303	0.11965	0.0471367	0.0616202	0.00359925	0.0564866	0.00042609	0.0369744	0.0543795	0.0194025	0.0665138	0.0332901	0.0463596	0.0403863	0.0110705	0.0666821	0.139671	0.0697388	0.166308	0.108477	0.178751	0.534297	1.02871	2.25824	2.050822
380	-795.669	-819.585	23.9153	1.002904	18.4079	0.0109972	0.0395007	0.0241092	0.00318092	0.0733588	0.010031	0.0393811	0.0394221	0.0269508	0.0401547	0.0337476	0.0277891	0.029189	0.00148827	0.0898628	0.0307245	0.0774417	0.0777999	0.0554852	0.0679685	0.0611973	0.00426741	0.0540476	0.000812183	0.0229749	0.0736626	0.0927125	0.122234	0.0520086	0.0682276	0.0535551	0.017588	0.0579449	0.047922	0.12418	0.156702	0.0531559	0.137533	0.477623	1.00048	2.38436	1.861776
390	-801.092	-820.576	19.4842	2.022354	13.75942	0.00779703	0.0383437	0.0383036	0.00759096	0.0612508	0.00781194	0.0392593	0.0248796	0.0589085	0.0722604	0.0149871	0.0309835	0.0379654	0.00215608	0.0571266	0.0214548	0.0635495	0.109998	0.0754504	0.0747926	0.0872434	0.0114509	0.0726465	0.00180152	0.0132396	0.0494486	0.0170873	0.164931	0.100854	0.125095	0.0248874	0.0162832	0.126402	0.0667487	0.0993508	0.127243	0.0740256	0.295929	0.65737	1.07054	1.97616	2.023608
400	-796.998	-813.029	16.0309	1.583368	20.84145	0.00668762	0.0531857	0.0412482	0.00391237	0.0517843	0.015919	0.0185154	0.0227055	0.0361454	0.0846081	0.0125874	0.0167852	0.0330621	0.00575666	0.0224836	0.0135375	0.0695087	0.0960009	0.0819394	0.110804	0.130068	0.0249516	0.105425	0.00183299	0.0216462	0.089859	0.0213396	0.111888	0.127512	0.116185	0.0744105	0.0604564	0.0644421	0.0930131	0.0788189	0.195383	0.0775033	0.237918	0.601869	1.05496	2.10525	2.191913
410	-801.179	-818.233	17.0548	3.283331	16.82445	0.0120144	0.0496702	0.0164703	0.0071838	0.0692092	0.0237366	0.0155112	0.0258801	0.0251622	0.0538008	0.0262412	0.0375219	0.042279	0.00664785	0.00891764	0.0141486	0.104063	0.0535137	0.11853	0.120516	0.145258	0.00918032	0.0505033	0.0103317	0.0291402	0.0230346	0.0580624	0.151689	0.165357	0.110585	0.048785	0.0752883	0.0662327	0.0753352	0.0544512	0.130656	0.0953347	0.410059	0.7461	1.0836	1.76024	2.130242
420	-805.316	-823.976	18.6604	1.535474	18.87276	0.0179365	0.0575343	0.022812	0.0206816	0.165609	0.0131935	0.0059467	0.0204346	0.0210316	0.0516094	0.0134855	0.0149219	0.0525388	0.00308587	0.00644107	0.0174889	0.0596691	0.00930307	0.0676765	0.0594772	0.17353	0.0170192	0.0594536	0.011809	0.0195283	0.0454714	0.0544653	0.217722	0.0734087	0.0915274	0.00934488	0.0411122	0.101364	0.08907	0.0317469	0.156082	0.21657	0.230751	0.594357	1.05244	2.12245	2.110103
430	-795.64	-824.403	28.7624	0.875258	20.70272	0.00679173	0.0357913	0.0284926	0.00479067	0.0342955	0.0138159	0.00631175	0.0278795	0.0434598	0.0434	0.0207174	0.00292028	0.032866	0.00391123	0.00467709	0.0390019	0.0581414	0.0167945	0.0510505	0.0411384	0.0809769	0.0473875	0.0549933	0.0184023	0.0267973	0.0184257	0.0369376	0.117194	0.0913245	0.0582712	0.0408658	0.121673	0.0416064	0.0540346	0.0923621	0.0758326	0.12191	0.111443	0.435757	0.975809	2.47699	1.615242
