Iteration	Posterior	Likelihood	Prior	alpha_data_bin	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	rates_data_bin[1]	rates_data_bin[2]	rates_data_bin[3]	rates_data_bin[4]	tree_length
330	-242.709	-265.123	22.4144	2.044107	15.21311	0.134245	0.00470748	0.0236796	0.0532213	0.0287101	0.000795594	0.00818737	0.0624935	0.0677369	0.005759	0.00919443	0.00678121	0.0544515	0.0100523	0.0148306	0.139885	0.0110052	0.0691385	0.0286023	0.0653151	0.213996	0.0579681	0.0149626	0.0349575	0.0253588	0.0983178	0.00134781	0.0582519	0.0194696	0.298484	0.659623	1.07106	1.97084	1.323422
340	-260.128	-277.601	17.473	2.303902	22.29268	0.0695982	0.00285935	0.00605349	0.00723494	0.0276197	0.00540414	0.00970232	0.0255268	0.035829	0.00561754	0.0150185	0.030372	0.0431213	0.0228962	0.143346	0.280681	0.0198228	0.0673807	0.0505726	0.113343	0.219068	0.0714041	0.0502061	0.0435535	0.0310947	0.0593192	0.00141678	0.0822184	0.00641638	0.32704	0.683874	1.07602	1.91307	1.546697
350	-258.935	-277.75	18.8147	0.8283754	16.41511	0.0751325	0.0455174	0.00793867	0.0327157	0.118799	0.0121916	0.0287149	0.0301731	0.0757454	0.00753922	0.00541019	0.0159403	0.0285103	0.02432	0.0903277	0.162338	0.0687054	0.0557129	0.025003	0.0708548	0.149211	0.160633	0.0419462	0.0563288	0.0281748	0.0803278	0.00157535	0.123228	0.0165514	0.101581	0.418312	0.964517	2.51559	1.639567
360	-253.813	-271.783	17.9699	1.964241	13.97339	0.136003	0.0494441	0.00980859	0.0650378	0.0679142	0.00533501	0.00965686	0.0280929	0.051912	0.0286653	0.00177337	0.0125167	0.0679193	0.0203082	0.0243187	0.139653	0.0117854	0.130918	0.0439515	0.0392228	0.190707	0.113126	0.0624094	0.0611352	0.0272487	0.132567	0.00170893	0.0316791	0.041138	0.288968	0.651156	1.06907	1.99081	1.605957
370	-255.236	-273.992	18.7565	2.25765	12.81671	0.116361	0.0327483	0.00786871	0.0233935	0.0812869	0.00163839	0.0155957	0.0128709	0.147992	0.0420437	0.00105331	0.0325777	0.0551574	0.0286615	0.058028	0.0470685	0.0156462	0.066235	0.126445	0.0426506	0.166495	0.0851544	0.0321725	0.0318612	0.0158806	0.0788433	0.00120243	0.0234759	0.0987552	0.322206	0.679884	1.07528	1.92263	1.489164
380	-254.165	-276.182	22.0165	1.644113	24.71454	0.0995618	0.0255553	0.00942327	0.0340264	0.117984	0.00368555	0.017606	0.0106095	0.0986662	0.0166829	0.00338479	0.021607	0.0333605	0.0129897	0.0151026	0.10493	0.00736521	0.0144384	0.0401343	0.045374	0.203413	0.0941184	0.0133524	0.0477898	0.016322	0.101584	0.000610064	0.0324913	0.0972378	0.246751	0.61091	1.05787	2.08447	1.339405
390	-246.12	-274.168	28.0476	0.9803043	18.52252	0.0397218	0.0309282	0.00498777	0.00753189	0.042085	0.00405051	0.0120342	0.00661685	0.0566376	0.0162628	0.00767294	0.0220115	0.066788	0.0201945	0.0102738	0.0995247	0.0217279	0.0140415	0.0928177	0.0540419	0.191207	0.04966	0.0191004	0.0932987	0.0213587	0.0643302	0.000835901	0.0240121	0.0189531	0.133007	0.470751	0.996658	2.39958	1.112707
400	-253.875	-276.081	22.2061	2.310742	16.95502	0.0350901	0.011451	0.00230551	0.0186796	0.0716312	0.0210272	0.0229207	0.00284737	0.0503923	0.0338893	0.00553204	0.0174543	0.0793422	0.0241937	0.0487928	0.0263753	0.0465923	0.028543	0.088324	0.0820804	0.365608	0.0687968	0.0437801	0.0305974	0.00872452	0.0270283	0.00150043	0.0396575	0.0457306	0.327746	0.684453	1.07612	1.91168	1.348888
410	-254.563	-270.843	16.28	1.914694	13.67816	0.0761575	0.0285326	0.00273601	0.0354954	0.0509461	0.0223626	0.00684399	0.0037758	0.026578	0.107173	0.00508535	0.0307847	0.0750804	0.0136086	0.056924	0.0362782	0.151097	0.0386197	0.160651	0.0847914	0.282025	0.0278888	0.0186025	0.0242513	0.0129456	0.0976281	0.00236639	0.161377	0.0862258	0.282875	0.645625	1.0677	2.0038	1.726831
420	-250.388	-267.157	16.7691	4.307312	16.64556	0.0763314	0.0227795	0.00252446	0.0452724	0.0543555	0.0305752	0.0127805	0.00874468	0.00843577	0.0896389	0.00438903	0.00418724	0.0287425	0.0575603	0.0336662	0.0369272	0.0846644	0.0202753	0.119621	0.0562193	0.303076	0.0242908	0.0298553	0.0402731	0.0168853	0.0971188	0.00287838	0.203665	0.0365476	0.470487	0.785208	1.08424	1.66006	1.552281
430	-259.732	-275.805	16.0728	1.165703	17.3434	0.0991865	0.0135653	0.00557161	0.0587493	0.0350891	0.0324055	0.0183133	0.0171971	0.00711081	0.0745501	0.0400175	0.0232964	0.0127181	0.0365662	0.0529753	0.0305136	0.145517	0.146955	0.212267	0.0188634	0.25025	0.0644178	0.0950347	0.0144864	0.02585	0.0920258	0.00314688	0.117453	0.0276442	0.168783	0.52146	1.02282	2.28694	1.771737
440	-250.475	-266.501	16.0261	1.630715	12.96155	0.11444	0.0223637	0.0129143	0.0374092	0.0425637	0.0106319	0.019378	0.028001	0.0030384	0.0317978	0.0313204	0.0210809	0.0410195	0.0258873	0.0256636	0.0697583	0.093515	0.136454	0.192765	0.0301999	0.321749	0.063598	0.081773	0.00909181	0.0138	0.09928	0.00455841	0.138943	0.031461	0.244827	0.608961	1.05726	2.08895	1.754455
450	-259.871	-269.197	9.32594	1.383363	17.98411	0.155279	0.045202	0.00828223	0.0425585	0.00737292	0.0112819	0.0201824	0.0340559	0.00428717	0.095829	0.0291438	0.00826437	0.0304903	0.0113757	0.0294324	0.129826	0.107844	0.279024	0.122025	0.13583	0.316372	0.167221	0.0672346	0.0154125	0.017903	0.0706483	0.0216663	0.105269	0.0337253	0.206729	0.567916	1.04277	2.18259	2.12304
460	-254.742	-271.124	16.382	2.90223	16.636	0.0433693	0.0405501	0.0189115	0.0700897	0.0167618	0.0186431	0.0154891	0.0285083	0.00247983	0.0641657	0.0167646	0.00562169	0.0320134	0.0123376	0.0179183	0.0679362	0.0346485	0.157298	0.105027	0.158974	0.254347	0.0477522	0.0921872	0.0192992	0.0315233	0.062915	0.0192047	0.168418	0.0368599	0.381554	0.725967	1.08199	1.81049	1.660015
470	-251.745	-266.242	14.4971	1.296361	15.99845	0.101527	0.0075206	0.0245022	0.0189411	0.00854381	0.0107852	0.0147941	0.0134138	0.00105901	0.0156692	0.00628326	0.0202025	0.0642008	0.0111283	0.0305187	0.0939851	0.0437204	0.137577	0.145235	0.110896	0.401579	0.048011	0.0481876	0.0364821	0.0410871	0.0645023	0.0202419	0.316794	0.0241114	0.192083	0.550734	1.03583	2.22135	1.881498
480	-257.881	-268.912	11.0305	2.720068	26.80585	0.0857675	0.0255965	0.202444	0.00532579	0.0162337	0.00478301	0.0443949	0.0187211	0.00405346	0.0247673	0.0109836	0.0173613	0.0577123	0.0172436	0.0264209	0.0300892	0.0897425	0.129484	0.0934836	0.0826307	0.235475	0.0101741	0.0565959	0.0210561	0.0656475	0.0432217	0.00468132	0.234084	0.0187071	0.366375	0.714748	1.08074	1.83814	1.676881
490	-263.552	-274.032	10.4801	3.71528	15.2413	0.065502	0.025364	0.173759	0.00513966	0.0113991	0.0161487	0.01474	0.018732	0.00290197	0.0144975	0.045517	0.0162627	0.0581834	0.0222525	0.012307	0.0414968	0.0985499	0.175117	0.177308	0.055294	0.222068	0.0167694	0.105868	0.0157333	0.0824101	0.0693335	0.00983684	0.337214	0.0877989	0.438003	0.76475	1.08433	1.71292	1.997505
